"","ï..lat","lng","address","dispatch","response_time","calculatedResponse"
"1",47.54,-122.4,"7004 Beach Drive Southwest, Seattle, WA 98136, USA","Seattle Medic 32",428,450.062910331836
"2",47.54,-122.395,"7101-7199 Lincoln Park Way Southwest, Seattle, WA 98136, USA","Seattle Medic 32",393,416.643305053736
"3",47.54,-122.39,"4513-4523 Southwest Myrtle Street, Seattle, WA 98136, USA","Seattle Medic 32",320,346.93955690227
"4",47.54,-122.385,"4052 Southwest Myrtle Street, Seattle, WA 98136, USA","Seattle Medic 32",341,366.99132006913
"5",47.54,-122.38,"6935 37th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",311,338.345944116473
"6",47.54,-122.375,"6921 34th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",269,298.242417782752
"7",47.54,-122.37,"6700-6976 Sylvan Way Southwest, Seattle, WA 98126, USA","Seattle Medic 32",276,304.926338838372
"8",47.54,-122.365,"6921-6929 25th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",420,442.424143411127
"9",47.54,-122.36,"7009-7079 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",448,469.159827633607
"10",47.54,-122.355,"6748-6950 16th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",445,466.295290038342
"11",47.54,-122.35,"6700-6998 12th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",509,527.40542540401
"12",47.54,-122.345,"6883-6917 Highland Park Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32",553,569.418643467908
"13",47.54,-122.34,"Highland Park Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32",600,614.296399127071
"14",47.54,-122.335,"1st Avenue South Bridge, Seattle, WA 98108, USA","Seattle Medic 32",707,716.464906691548
"15",47.54,-122.33,"501 South Myrtle Street, Seattle, WA 98108, USA","Seattle Medic 28",693,703.097064580308
"16",47.54,-122.325,"711 South Myrtle Street, Seattle, WA 98108, USA","Seattle Medic 28",629,641.986929214639
"17",47.54,-122.32,"6929 Ellis Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",521,538.863575785073
"18",47.54,-122.315,"1001 South Myrtle Street, Seattle, WA 98108, USA","Seattle Medic 28",553,569.418643467908
"19",47.54,-122.305,"7216-7704 Airport Way South, Seattle, WA 98108, USA","Seattle Medic 28",529,546.502342705782
"20",47.54,-122.3,"7000-7018 Covello Drive South, Seattle, WA 98108, USA","Seattle Medic 28",437,458.656523117633
"21",47.54,-122.295,"2901-2999 South Frontenac Street, Seattle, WA 98108, USA","Seattle Medic 28",352,377.494624585104
"22",47.54,-122.29,"6951-6999 32nd Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",325,351.713786227713
"23",47.54,-122.285,"7099 38th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",298,325.932947870321
"24",47.54,-122.28,"4200 South Frontenac Street, Seattle, WA 98118, USA","Seattle Medic 28",200,232.358053091641
"25",47.54,-122.275,"4601-4615 South Frontenac Street, Seattle, WA 98118, USA","Seattle Medic 28",218,249.545278663235
"26",47.54,-122.27,"6921 51st Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",141,176.022147051415
"27",47.54,-122.265,"6924 55th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",216,247.635586933058
"28",47.54,-122.26,"5633 South Willow Street, Seattle, WA 98118, USA","Seattle Medic 28",267,296.332726052575
"29",47.545,-122.4,"6400-6506 Beach Drive Southwest, Seattle, WA 98136, USA","Seattle Medic 32",451,472.024365228873
"30",47.545,-122.395,"6421 49th Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32",373,397.546387751964
"31",47.545,-122.39,"45th Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32",343,368.901011799307
"32",47.545,-122.385,"4148 Southwest Morgan Street, Seattle, WA 98136, USA","Seattle Medic 32",195,227.583823766198
"33",47.545,-122.38,"6351 37th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",247,277.235808750804
"34",47.545,-122.375,"6350 34th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",215,246.680741067969
"35",47.545,-122.37,"2900-2998 30th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",285,313.51995162417
"36",47.545,-122.365,"6332 26th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",438,459.611368982722
"37",47.545,-122.36,"6349 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",465,485.392207340113
"38",47.545,-122.355,"6175-6233 16th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",489,508.308508102239
"39",47.545,-122.35,"1500 Southwest Morgan Street, Seattle, WA 98106, USA","Seattle Medic 32",574,589.470406634768
"40",47.545,-122.345,"6100-6644 West Marginal Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32",539,556.050801356668
"41",47.545,-122.34,"400 Southwest Front Street, Seattle, WA 98106, USA","Seattle Medic 32",601,615.251244992159
"42",47.545,-122.335,"6371-6399 1st Avenue South, Seattle, WA 98108, USA","Seattle Medic 32",742,749.884511969648
