"lat","lng","address","dispatch","response_time"
"47.54","-122.40000000000003","7004 Beach Drive Southwest, Seattle, WA 98136, USA","Seattle Medic 32","428"
"47.54","-122.39500000000004","7101-7199 Lincoln Park Way Southwest, Seattle, WA 98136, USA","Seattle Medic 32","393"
"47.54","-122.39000000000004","4513-4523 Southwest Myrtle Street, Seattle, WA 98136, USA","Seattle Medic 32","320"
"47.54","-122.38500000000005","4052 Southwest Myrtle Street, Seattle, WA 98136, USA","Seattle Medic 32","341"
"47.54","-122.38000000000005","6935 37th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","311"
"47.54","-122.37500000000006","6921 34th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","269"
"47.54","-122.37000000000006","6700-6976 Sylvan Way Southwest, Seattle, WA 98126, USA","Seattle Medic 32","276"
"47.54","-122.36500000000007","6921-6929 25th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","420"
"47.54","-122.36000000000007","7009-7079 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","448"
"47.54","-122.35500000000008","6748-6950 16th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","445"
"47.54","-122.35000000000008","6700-6998 12th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","509"
"47.54","-122.34500000000008","6883-6917 Highland Park Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32","553"
"47.54","-122.34000000000009","Highland Park Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32","600"
"47.54","-122.3350000000001","1st Avenue South Bridge, Seattle, WA 98108, USA","Seattle Medic 32","707"
"47.54","-122.3300000000001","501 South Myrtle Street, Seattle, WA 98108, USA","Seattle Medic 28","693"
"47.54","-122.3250000000001","711 South Myrtle Street, Seattle, WA 98108, USA","Seattle Medic 28","629"
"47.54","-122.3200000000001","6929 Ellis Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","521"
"47.54","-122.31500000000011","1001 South Myrtle Street, Seattle, WA 98108, USA","Seattle Medic 28","553"
"47.54","-122.30500000000012","7216-7704 Airport Way South, Seattle, WA 98108, USA","Seattle Medic 28","529"
"47.54","-122.30000000000013","7000-7018 Covello Drive South, Seattle, WA 98108, USA","Seattle Medic 28","437"
"47.54","-122.29500000000013","2901-2999 South Frontenac Street, Seattle, WA 98108, USA","Seattle Medic 28","352"
"47.54","-122.29000000000013","6951-6999 32nd Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","325"
"47.54","-122.28500000000014","7099 38th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","298"
"47.54","-122.28000000000014","4200 South Frontenac Street, Seattle, WA 98118, USA","Seattle Medic 28","200"
"47.54","-122.27500000000015","4601-4615 South Frontenac Street, Seattle, WA 98118, USA","Seattle Medic 28","218"
"47.54","-122.27000000000015","6921 51st Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","141"
"47.54","-122.26500000000016","6924 55th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","216"
"47.54","-122.26000000000016","5633 South Willow Street, Seattle, WA 98118, USA","Seattle Medic 28","267"
"47.545","-122.40000000000003","6400-6506 Beach Drive Southwest, Seattle, WA 98136, USA","Seattle Medic 32","451"
"47.545","-122.39500000000004","6421 49th Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32","373"
"47.545","-122.39000000000004","45th Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32","343"
"47.545","-122.38500000000005","4148 Southwest Morgan Street, Seattle, WA 98136, USA","Seattle Medic 32","195"
